url,job,jurusan,lulusan
/opportunities/1071073,Rider Tulang Bawang,Semuanya,SLTA
/opportunities/1071074,Rider Lampung Timur,Semuanya,SLTA
/opportunities/1071075,Rider Lampung Tengah,Semuanya,SLTA
/opportunities/1071076,Rider Kisaran,Semuanya,SLTA
/opportunities/1071077,Rider Pariaman,Semuanya,SLTA
/opportunities/1071078,Rider Tegal,Semuanya,SLTA
/opportunities/1071080,Rider Mamuju,Semuanya,SLTA
/opportunities/1071081,Rider Sumbawa,Semuanya,SLTA
/opportunities/1071066,Rider Pekalongan ,Semuanya,SLTA
/opportunities/1071049,SPECIAL RELATION,"Hukum, Ilmu Komunikasi, Manajemen",Sarjana/S1
/opportunities/1071030,Rider Enrekang,Semuanya,SLTA
/opportunities/1071040,Rider Cikarang,Semuanya,SLTA
/opportunities/1071042,SPV SALES LAMPUNG,Semuanya,Diploma
/opportunities/1071055,Rider Lamongan,Semuanya,SLTA
/opportunities/1071056,Rider Majalengka,Semuanya,SLTA
/opportunities/1071057,Rider Kediri,Semuanya,SLTA
/opportunities/1071058,Rider Banyuwangi,Semuanya,SLTA
/opportunities/1071059,Rider Purwakarta,Semuanya,SLTA
/opportunities/1071061,Rider Kudus,Semuanya,SLTA
/opportunities/1071062,Rider Blora,Semuanya,SLTA
/opportunities/1071063,Rider Pasuruan ,Semuanya,SLTA
/opportunities/1071064,Rider Probolinggo,Semuanya,SLTA
/opportunities/1071065,Rider Sumedang,Semuanya,SLTA
/opportunities/1071029,Rider Palu,Semuanya,SLTA
/opportunities/1071563,Kolektor Bekasi,Semuanya,"Diploma, Sarjana/S1, Master/S2"
/opportunities/1071567,SPG YOGYAKARTA,Semuanya,SLTA
/opportunities/1071562,Kolektor Tangerang Selatan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071017,Rider Pontianak,Semuanya,SLTA
/opportunities/1071018,Rider Ketapang,Semuanya,SLTA
/opportunities/1071019,Rider Palangkaraya,Semuanya,SLTA
/opportunities/1071020,Rider Berau,Semuanya,SLTA
/opportunities/1071021,Rider Sanggau,Semuanya,SLTA
/opportunities/1071022,Rider Sintang,Semuanya,SLTA
/opportunities/1071024,Rider Sungai Pinyuh,Semuanya,SLTA
/opportunities/1071025,Rider Pare-Pare,Semuanya,SLTA
/opportunities/1071026,Rider Banjarmasin,Semuanya,SLTA
/opportunities/1071027,Rider Bontang,Semuanya,SLTA
/opportunities/1071028,Rider Gowa,Semuanya,SLTA
/opportunities/1071561,Kolektor Cibinong,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071517,Marketing Credit Executive Bekasi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071519,Marketing Credit Executive Cibinong,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071520,Marketing Credit Executive Yogyakarta,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071473,Kolektor Yogyakarta,Semuanya,"SLTA, Diploma, Sarjana/S1"
